0	1.6302	0.73102	-0.39432	1.6302	1.6302	1.6302	1.6302	1.6302	1.6302
0.010001	0.48889	-0.34757	0.27084	0.48889	0.48889	0.48889	0.48889	0.48889	0.48889
0.020002	1.0347	0.23442	-0.064452	1.0347	1.0347	1.0347	1.0347	1.0347	1.0347
0.030003	0.72689	-0.86773	0.32481	0.72689	0.72689	0.72689	0.72689	0.72689	0.72689
0.040004	-0.30344	-0.98254	2.345	-0.30344	-0.30344	-0.30344	-0.30344	-0.30344	-0.30344
0.050005	0.29387	-0.29357	-0.14404	0.29387	0.29387	0.29387	0.29387	0.29387	0.29387
0.060006	-0.78728	0.82447	-0.40089	-0.78728	-0.78728	-0.78728	-0.78728	-0.78728	-0.78728
0.070007	0.8884	0.19413	1.3155	0.8884	0.8884	0.8884	0.8884	0.8884	0.8884
0.080008	-1.1471	0.29769	-0.6735	-1.1471	-1.1471	-1.1471	-1.1471	-1.1471	-1.1471
0.090009	-1.0689	-0.71013	-0.035148	-1.0689	-1.0689	-1.0689	-1.0689	-1.0689	-1.0689
0.10001	-0.8095	-0.68767	-1.2339	-0.8095	-0.8095	-0.8095	-0.8095	-0.8095	-0.8095
0.11001	-2.9443	0.57284	0.32034	-2.9443	-2.9443	-2.9443	-2.9443	-2.9443	-2.9443
0.12001	1.4384	0.44522	0.51493	1.4384	1.4384	1.4384	1.4384	1.4384	1.4384
0.13001	0.32519	-1.326	0.56938	0.32519	0.32519	0.32519	0.32519	0.32519	0.32519
0.14001	-0.75493	-1.4999	-0.0040167	-0.75493	-0.75493	-0.75493	-0.75493	-0.75493	-0.75493
0.15002	1.3703	1.016	0.61175	1.3703	1.3703	1.3703	1.3703	1.3703	1.3703
0.16002	-1.7115	-0.027516	-0.49017	-1.7115	-1.7115	-1.7115	-1.7115	-1.7115	-1.7115
0.17002	-0.10224	-0.16045	-1.7272	-0.10224	-0.10224	-0.10224	-0.10224	-0.10224	-0.10224
0.18002	-0.24145	0.37884	-0.55729	-0.24145	-0.24145	-0.24145	-0.24145	-0.24145	-0.24145
0.19002	0.31921	-0.10716	0.80213	0.31921	0.31921	0.31921	0.31921	0.31921	0.31921
0.20002	0.31286	0.21284	1.5039	0.31286	0.31286	0.31286	0.31286	0.31286	0.31286
0.21002	-0.86488	0.46806	0.91966	-0.86488	-0.86488	-0.86488	-0.86488	-0.86488	-0.86488
0.22002	-0.030051	-1.6161	-0.55725	-0.030051	-0.030051	-0.030051	-0.030051	-0.030051	-0.030051
0.23002	-0.16488	0.014738	0.34865	-0.16488	-0.16488	-0.16488	-0.16488	-0.16488	-0.16488
